"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","Create Visit Invalid Required Fields","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestCreateVisit","test_create_visit","",""
"","1657","Delete Visit","tests.ui","2026-03-06","passed","2026-03-06","TestVisitActions","test_visit_actions","",""
"","10","Create Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","","test_create_person","",""
"","86","Create Patient From Existing Person Invalid Identifier Data","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestCreatePatientFromExistingPerson","test_create_patient_from_existing_person","",""
"","21","Create Patient Missing Person","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestCreatePatientWithNewPerson","test_create_patient_with_new_person","",""
"","10","Create Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","","test_create_person","",""
"","85","Create Patient From Existing Person Invalid Identifier Data","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestCreatePatientFromExistingPerson","test_create_patient_from_existing_person","",""
"","19","Update Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestUpdatePerson","test_update_person","",""
"","11","Create Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","","test_create_person","",""
"","9","Create Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","","test_create_person","",""
"","17","Update Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestUpdatePerson","test_update_person","",""
"","12","Create Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","","test_create_person","",""
"","148","Create Patient With New Person Without Required Privileges","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestCreatePatientWithNewPerson","test_create_patient_with_new_person","",""
"","6090","Search Patient By Nonexistent Fullname By Admin","tests.ui","2026-03-06","failed","2026-03-06","TestSearchPatientByAdmin","test_search_patient_by_admin","",""
"","12","Create Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","","test_create_person","",""
"","10","Create Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","","test_create_person","",""
"","96","Create Patient With New Person Allowed Roles","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestCreatePatientWithNewPerson","test_create_patient_with_new_person","",""
"","27","Create Patient With New Person Invalid Identifier","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestCreatePatientWithNewPerson","test_create_patient_with_new_person","",""
"","30","Create Patient Rollback On Invalid Identifier","tests.api.open_msr","2026-03-06","passed","2026-03-06","TestCreatePatientWithNewPerson","test_create_patient_with_new_person","",""
"","1708","Cancel End Visit","tests.ui","2026-03-06","passed","2026-03-06","TestVisitActions","test_visit_actions","",""
"","12","Create Person Invalid","tests.api.open_msr","2026-03-06","passed","2026-03-06","","test_create_person","",""
